open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base_volume,taker_buy_quote_volume,ignore
2026-04-14 22:00:00+00:00,2323.72,2332.35,2311.75,2314.99,9731.0497,2026-04-14 22:59:59.999000+00:00,22588958.395708,108848,3941.21140000,9151388.29000100,0
2026-04-14 23:00:00+00:00,2314.99,2326.65,2314.32,2322.44,4965.2354,2026-04-14 23:59:59.999000+00:00,11526502.063914,70667,2322.40680000,5390713.54673700,0
2026-04-15 00:00:00+00:00,2322.44,2342.76,2321.63,2333.81,10921.3059,2026-04-15 00:59:59.999000+00:00,25503361.745188,125777,5388.63060000,12583683.95051700,0
2026-04-15 01:00:00+00:00,2333.8,2342.6,2331.18,2335.66,7454.8421,2026-04-15 01:59:59.999000+00:00,17417183.524069,87212,3415.15070000,7980130.43764600,0
2026-04-15 02:00:00+00:00,2335.66,2338.02,2317.56,2324.77,6851.7801,2026-04-15 02:59:59.999000+00:00,15935320.5362,67569,2517.49140000,5854327.61486400,0
2026-04-15 03:00:00+00:00,2324.78,2329.39,2320.57,2328.81,3673.6185,2026-04-15 03:59:59.999000+00:00,8540244.122535,45487,1878.90930000,4367856.57512000,0
2026-04-15 04:00:00+00:00,2328.82,2334.7,2328.0,2333.44,4920.3218,2026-04-15 04:59:59.999000+00:00,11471935.402063,47393,2621.49710000,6112804.51102100,0
2026-04-15 05:00:00+00:00,2333.43,2338.23,2314.0,2319.45,8570.8757,2026-04-15 05:59:59.999000+00:00,19922079.086856,73614,3329.27200000,7741476.18299500,0
2026-04-15 06:00:00+00:00,2319.44,2321.02,2314.99,2317.37,6070.7059,2026-04-15 06:59:59.999000+00:00,14069965.274485,41839,2938.85380000,6810342.65052500,0
2026-04-15 07:00:00+00:00,2317.37,2323.53,2308.5,2316.62,11943.6405,2026-04-15 07:59:59.999000+00:00,27640877.922602,91121,5962.03140000,13800161.15411800,0
2026-04-15 08:00:00+00:00,2316.62,2333.0,2314.07,2327.4,16606.8901,2026-04-15 08:59:59.999000+00:00,38588897.771445,109236,9542.44130000,22174375.37703400,0
2026-04-15 09:00:00+00:00,2327.4,2329.62,2318.47,2319.95,4819.8486,2026-04-15 09:59:59.999000+00:00,11193772.245491,82337,1872.38500000,4347220.47237500,0
