trade_id,strategy,direction,entry_time,entry_price,exit_time,exit_price,duration_bars,duration_hours,invested_usd,realized_pnl_usd,realized_pnl_pct,portfolio_after,exit_reason
70,EMA_SAR_207_224,SHORT,2026-04-07T04:25,2105.74,2026-04-07T22:40,2183.33,219,18.25,11182.67,-412.07,-3.68,10770.6,Signal Flip
71,EMA_SAR_207_224,LONG,2026-04-07T22:40,2183.33,2026-04-09T02:15,2173.88,331,27.58,10770.6,-46.61,-0.43,10723.99,Signal Flip
72,EMA_SAR_207_224,SHORT,2026-04-09T02:15,2173.88,2026-04-09T18:35,2207.53,196,16.33,10723.99,-166.0,-1.55,10557.98,Signal Flip
73,EMA_SAR_207_224,LONG,2026-04-09T18:35,2207.53,2026-04-10T04:10,2186.64,115,9.58,10557.98,-99.94,-0.95,10458.04,Signal Flip
74,EMA_SAR_207_224,SHORT,2026-04-10T04:10,2186.64,2026-04-10T12:00,2216.77,94,7.83,10458.04,-144.11,-1.38,10313.93,Signal Flip
75,EMA_SAR_207_224,LONG,2026-04-10T12:00,2216.77,2026-04-12T05:10,2212.43,494,41.17,10313.93,-20.17,-0.2,10293.76,Signal Flip
76,EMA_SAR_207_224,SHORT,2026-04-12T05:10,2212.43,2026-04-13T17:20,2229.77,434,36.17,10293.76,-80.68,-0.78,10213.08,Signal Flip
77,EMA_SAR_207_224,LONG,2026-04-13T17:20,2229.77,2026-04-15T06:45,2317.33,449,37.42,10213.08,401.04,3.93,10614.11,Signal Flip
78,EMA_SAR_207_224,SHORT,2026-04-15T06:45,2317.33,2026-04-15T16:05,2339.62,112,9.33,10614.11,-102.09,-0.96,10512.03,Signal Flip
79,EMA_SAR_207_224,LONG,2026-04-15T16:05,2339.62,2026-04-16T12:50,2337.06,249,20.75,10512.03,-11.49,-0.11,10500.53,Signal Flip
80,EMA_SAR_207_224,SHORT,2026-04-16T12:50,2337.06,2026-04-17T00:45,2346.71,143,11.92,10500.53,-43.37,-0.41,10457.17,Signal Flip
81,EMA_SAR_207_224,LONG,2026-04-17T00:45,2346.71,2026-04-17T01:40,2333.6,11,0.92,10457.17,-58.42,-0.56,10398.75,Signal Flip
82,EMA_SAR_207_224,SHORT,2026-04-17T01:40,2333.6,2026-04-17T10:10,2357.98,102,8.5,10398.75,-108.62,-1.04,10290.12,Signal Flip
83,EMA_SAR_207_224,LONG,2026-04-17T10:10,2357.98,2026-04-18T11:25,2355.18,303,25.25,10290.12,-12.2,-0.12,10277.92,Signal Flip
84,EMA_SAR_207_224,SHORT,2026-04-18T11:25,2355.18,2026-04-20T18:05,2325.31,656,54.67,10277.92,130.35,1.27,10408.27,Signal Flip
85,EMA_SAR_207_224,LONG,2026-04-20T18:05,2325.31,2026-04-21T17:25,2293.27,280,23.33,10408.27,-143.41,-1.38,10264.86,Signal Flip
86,EMA_SAR_207_224,SHORT,2026-04-21T17:25,2293.27,2026-04-22T00:00,2328.31,79,6.58,10264.86,-156.85,-1.53,10108.02,Signal Flip
87,EMA_SAR_207_224,LONG,2026-04-22T00:00,2328.31,2026-04-23T04:40,2344.99,344,28.67,10108.02,72.38,0.72,10180.4,Signal Flip
88,EMA_SAR_207_224,SHORT,2026-04-23T04:40,2344.99,2026-04-26T05:40,2330.75,876,73.0,10180.4,61.79,0.61,10242.19,Signal Flip
89,EMA_SAR_207_224,LONG,2026-04-26T05:40,2330.75,2026-04-27T09:35,2322.24,335,27.92,10242.19,-37.42,-0.37,10204.76,Signal Flip
90,EMA_SAR_207_224,SHORT,2026-04-27T09:35,2322.24,2026-04-29T04:20,2314.72,513,42.75,10204.76,33.05,0.32,10237.81,Signal Flip
91,EMA_SAR_207_224,LONG,2026-04-29T04:20,2314.72,2026-04-29T17:15,2267.61,155,12.92,10237.81,-208.37,-2.04,10029.45,Signal Flip
92,EMA_SAR_207_224,SHORT,2026-04-29T17:15,2267.61,2026-05-01T03:50,2285.32,415,34.58,10029.45,-78.36,-0.78,9951.09,Signal Flip
93,EMA_SAR_207_224,LONG,2026-05-01T03:50,2285.32,2026-05-06T06:05,2364.87,1467,122.25,9951.09,346.37,3.48,10297.45,Signal Flip
