Strategy_Logic,Fast_EMA,Slow_EMA,Total_Return_Pct,CAGR_Pct,Alpha_Pct,Max_Drawdown_Pct,Sharpe_Ratio,Sortino_Ratio,Calmar_Ratio,Win_Rate_Pct,Profit_Factor,Total_Trades,Avg_Holding_Hours,Avg_Trade_Pct,Best_Trade_Pct,Worst_Trade_Pct,Exposure_Pct,Pos_Months,Neg_Months,Jan_2026,Feb_2026,Mar_2026,Apr_2026,May_2026,Jun_2026,Jul_2026,Aug_2026
EMA_CROSSOVER_LONG_ONLY,210,222,37.21,64.02,55.89,16.89,1.55,1.61,3.79,62.5,7.59,8,348.6,4.43,27.9,-4.67,49.8,5,1,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,28.02
EMA_CROSSOVER_LONG_ONLY,201,231,37.21,64.03,55.89,16.89,1.55,1.61,3.79,55.56,7.1,9,309.4,3.94,27.9,-4.67,49.73,5,1,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,28.02
EMA_CROSSOVER_LONG_ONLY,215,217,37.21,64.02,55.89,16.89,1.55,1.61,3.79,62.5,7.59,8,348.6,4.43,27.9,-4.67,49.8,5,1,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,28.02
EMA_CROSSOVER_LONG_ONLY,204,229,37.16,63.92,55.83,16.89,1.55,1.61,3.79,62.5,7.59,8,348.5,4.42,27.9,-4.67,49.79,5,1,0.16,0.0,0.3,5.61,-4.67,0.0,5.94,28.02
EMA_CROSSOVER_LONG_ONLY,203,230,37.16,63.92,55.83,16.89,1.55,1.61,3.79,62.5,7.59,8,348.5,4.42,27.9,-4.67,49.79,5,1,0.16,0.0,0.3,5.61,-4.67,0.0,5.94,28.02
EMA_CROSSOVER_LONG_ONLY,205,228,37.16,63.92,55.83,16.89,1.55,1.61,3.79,62.5,7.59,8,348.5,4.42,27.9,-4.67,49.79,5,1,0.16,0.0,0.3,5.61,-4.67,0.0,5.94,28.02
EMA_CROSSOVER_LONG_ONLY,206,227,37.16,63.92,55.83,16.89,1.55,1.61,3.79,62.5,7.59,8,348.5,4.42,27.9,-4.67,49.79,5,1,0.16,0.0,0.3,5.61,-4.67,0.0,5.94,28.02
EMA_CROSSOVER_LONG_ONLY,207,226,36.95,63.54,55.63,16.89,1.54,1.6,3.76,62.5,7.38,8,348.6,4.4,27.9,-4.67,49.8,5,1,0.16,0.0,0.3,5.61,-4.67,0.0,5.94,27.83
EMA_CROSSOVER_LONG_ONLY,214,219,36.95,63.54,55.63,16.89,1.54,1.6,3.76,62.5,7.38,8,348.6,4.4,27.9,-4.67,49.8,5,1,0.16,0.0,0.3,5.61,-4.67,0.0,5.94,27.83
EMA_CROSSOVER_LONG_ONLY,212,221,36.95,63.54,55.63,16.89,1.54,1.6,3.76,62.5,7.38,8,348.6,4.4,27.9,-4.67,49.8,5,1,0.16,0.0,0.3,5.61,-4.67,0.0,5.94,27.83
EMA_CROSSOVER_LONG_ONLY,215,218,36.95,63.54,55.63,16.89,1.54,1.6,3.76,62.5,7.38,8,348.6,4.4,27.9,-4.67,49.8,5,1,0.16,0.0,0.3,5.61,-4.67,0.0,5.94,27.83
EMA_CROSSOVER_LONG_ONLY,210,223,36.95,63.54,55.63,16.89,1.54,1.6,3.76,62.5,7.38,8,348.6,4.4,27.9,-4.67,49.8,5,1,0.16,0.0,0.3,5.61,-4.67,0.0,5.94,27.83
EMA_CROSSOVER_LONG_ONLY,211,222,36.95,63.54,55.63,16.89,1.54,1.6,3.76,62.5,7.38,8,348.6,4.4,27.9,-4.67,49.8,5,1,0.16,0.0,0.3,5.61,-4.67,0.0,5.94,27.83
EMA_CROSSOVER_LONG_ONLY,216,217,36.95,63.54,55.63,16.89,1.54,1.6,3.76,62.5,7.38,8,348.6,4.4,27.9,-4.67,49.8,5,1,0.16,0.0,0.3,5.61,-4.67,0.0,5.94,27.83
EMA_CROSSOVER_LONG_ONLY,209,224,36.95,63.54,55.63,16.89,1.54,1.6,3.76,62.5,7.38,8,348.6,4.4,27.9,-4.67,49.8,5,1,0.16,0.0,0.3,5.61,-4.67,0.0,5.94,27.83
